-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   hipDeviceSynchronize         0.00%       1.920us         0.00%       1.920us       1.920us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 922.911ms
Self CUDA time total: 746.775ms
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b             2  
             hipMemcpyWithStream        96.45%      64.960us        96.45%      64.960us      64.960us       0.000us         0.00%       0.000us       0.000us           0 b           0 b             1  
    Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us       5.600us       100.00%       5.600us       5.600us           0 b           0 b             1  
            hipDeviceSynchronize         3.55%       2.391us         3.55%       2.391us       2.391us       0.000us         0.00%       0.000us       0.000us           0 b           0 b             1  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 67.351us
Self CUDA time total: 5.600us
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us       8.25 Kb       8.25 Kb      12.55 Gb      12.55 Gb          2263  
        hipGetDevicePropertiesR0600         0.00%       2.570us         0.00%       2.570us       2.570us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    hipDeviceGetStreamPriorityRange         0.00%       0.549us         0.00%       0.549us       0.549us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
               hipStreamIsCapturing         0.01%     263.217us         0.01%     263.217us       1.154us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           228  
                          hipMalloc         1.73%      32.397ms         1.73%      32.397ms     142.093us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           228  
                hipMemcpyWithStream        98.26%        1.841s        98.26%        1.841s       5.664ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           325  
       Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     741.324ms       100.00%     741.324ms       2.281ms           0 b           0 b           0 b           0 b           325  
                      hipMemGetInfo         0.00%       3.188us         0.00%       3.188us       3.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                            hipFree         0.00%      11.309us         0.00%      11.309us      11.309us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
